id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1470620,Contemporary 2 Bedroom Apartment - Joaquin Sorolla,3828810,1462640437797839941,Tom,JESUS,LA RAIOSA,39.45716,-0.38505,Entire home/apt,96.0,3,91,2026-06-13,0.59,1,118,25,Spain - National registration number<br />ESFCTU000046067000153312000000000000000000VT-46325-V2<br /><br />Valencia - Regional registration number<br />VT-46325-V
1499012,"Premium, Lux & Comfort by the Sea",503645334,1463852416398056193,Arianne,POBLATS MARITIMS,LA MALVA-ROSA,39.48014,-0.32582,Entire home/apt,322.0,11,340,2026-05-19,2.17,7,134,15,Spain - National registration number<br />ESFCNT00004605400049213800000000000000000000000000005<br /><br />Valencia - Regional registration number<br />Exempt - seasonal rental
1538774,Loft Torres de Serranos,8204317,1462564239826384648,Carlos,CIUTAT VELLA,EL CARME,39.47973,-0.37538,Entire home/apt,194.0,4,233,2025-09-22,1.73,1,298,6,Valencia - Regional registration number<br />VT-38036-V
1587310,Single room in nice flat in Benimaclet,8286196,1462564588680723717,Elena,BENIMACLET,BENIMACLET,39.48643,-0.36135,Private room,50.0,2,94,2026-06-10,0.73,1,26,18,
1639276,Main Central Station Apartment,8704211,1462566278191334556,Francisco Javier,EXTRAMURS,LA ROQUETA,39.46665,-0.37949,Entire home/apt,206.0,3,201,2026-06-08,1.31,3,178,19,Valencia - Regional registration number<br />VT-41697-V<br /><br />Spain - National registration number<br />ESFCTU000046063000087527000000000000000000VT-41697-V5
1658018,Single Room 1 Valencia Beach,8788278,1462787008402251776,Laura,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46878,-0.33275,Private room,72.0,2,122,2026-06-08,0.8,3,160,7,Valencia - Regional registration number<br />VT-45916-V
1702630,Charming house next to the beach,8988014,1462792053617488369,Emilio,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46594,-0.3318,Entire home/apt,123.0,2,123,2026-05-26,0.82,4,58,4,Valencia - Regional registration number<br />VT-36805-V<br /><br />Spain - National registration number<br />ESFCNT00004602500060428900000000000000000000000000005
1713200,Un encantador dúplex para relajarse junto al mar,8987701,1462792048421089294,Adolfo Y Sara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46639,-0.33211,Entire home/apt,252.0,2,36,2026-05-31,0.25,4,74,10,Valencia - Regional registration number<br />VT-36716-V<br /><br />Spain - National registration number<br />ESFCTU000046025000306244000000000000000000VT-36716-V9
1740954,Valencia's  apartment 3 bedroom,3690047,1462637135506555611,Mompo Gimeno Asociados Sl,L'EIXAMPLE,RUSSAFA,39.45926,-0.37637,Entire home/apt,73.0,30,59,2026-06-06,0.39,2,304,2,Spain - National registration number<br />ESFCNTB0D64605900035560500000000000000000000000000003<br /><br />Valencia - Regional registration number<br />Exempt - seasonal rental
1830872,Beautiful House with terrace,9575983,1462570192090236917,Alejandro,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46482,-0.32747,Entire home/apt,459.0,3,333,2026-06-22,2.19,1,242,27,Spain - National registration number<br />ESFCTU0000460250006013250000000000000CV-VUT0033277-V8<br /><br />Valencia - Regional registration number<br />VT-33277-V
1842000,Luxury air-con 3 bed apt. Arts and Sciences area,9222108,1462808649062275107,Diana,CAMINS AL GRAU,PENYA-ROJA,39.45848846435547,-0.3485839962959289,Entire home/apt,196.0,5,92,2026-06-15,1.15,1,263,11,Valencia - Regional registration number<br />VT-52105-V<br /><br />Spain - National registration number<br />ESFCNT00004606100084930500000000000000000000000000005
1842193,"Estudio, lugar singular + wiffi, a pie calle",9244329,1462809219791552960,Josefina,L'EIXAMPLE,RUSSAFA,39.46163,-0.36955,Entire home/apt,136.0,2,62,2026-06-08,0.57,2,223,2,Spain - National registration number<br />ESFCTU000046059000440271000000000000000000VT-36177-V4<br /><br />Valencia - Regional registration number<br />VT-36177-V
1947238,"Rental apartment in Ruzafa, Valencia",2037083,1462584752324572007,Valencia Flat Rental,L'EIXAMPLE,RUSSAFA,39.46304,-0.37031,Entire home/apt,139.0,10,50,2024-11-15,0.35,20,117,0,Spain - National registration number<br />ESFCNT00004605900053694300000000000000000000000000003<br /><br />Valencia - Regional registration number<br />Exempt - seasonal rental
1991246,HABITACIÓN AMPLIA DOBLE (double room),8788278,1462787008402251776,Laura,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46917,-0.33088,Private room,109.0,2,83,2026-06-21,0.56,3,150,8,Valencia - Regional registration number<br />VT-45916-V
2020871,Room Beach Malvarrosa,6167570,1462699633919130032,Isabel Y Mario,POBLATS MARITIMS,LA MALVA-ROSA,39.47793,-0.32493,Private room,84.0,3,91,2025-09-01,0.63,4,206,2,
